,idx,title_raw,text_raw,title,text,content,_topic_
0,5969222,"

                    Corn inbred lines for dairy cattle feed                
","
            An inbred corn line designated AR5153bm3 is disclosed. AR5153bm3 is useful for producing F1 hybrid corn seed and plants therefrom. Such corn plants exhibit the brown midrib phenotype and yield a silage that, when fed to dairy cattle, increases milk production.        ",corn inbred lines for dairy cattle feed,"an inbred corn line designated ar5153bm3 is disclosed. ar5153bm3 is useful for producing f1 hybrid corn seed and plants therefrom. such corn plants exhibit the brown midrib phenotype and yield a silage that, when fed to dairy cattle, increases milk production.","corn inbred lines for dairy cattle feed an inbred corn line designated ar5153bm3 is disclosed. ar5153bm3 is useful for producing f1 hybrid corn seed and plants therefrom. such corn plants exhibit the brown midrib phenotype and yield a silage that, when fed to dairy cattle, increases milk production.",composition_cyanamide_use
1,6114609,"

                    Corn inbred lines for dairy cattle feed                
","
            An inbred corn line designated AR5253bm3 is disclosed. AR5253bm3 is useful for producing F1 hybrid corn seed and plants therefrom. Such corn plants exhibit the brown midrib phenotype and yield a silage that, when fed to dairy cattle, increases milk production.        ",corn inbred lines for dairy cattle feed,"an inbred corn line designated ar5253bm3 is disclosed. ar5253bm3 is useful for producing f1 hybrid corn seed and plants therefrom. such corn plants exhibit the brown midrib phenotype and yield a silage that, when fed to dairy cattle, increases milk production.","corn inbred lines for dairy cattle feed an inbred corn line designated ar5253bm3 is disclosed. ar5253bm3 is useful for producing f1 hybrid corn seed and plants therefrom. such corn plants exhibit the brown midrib phenotype and yield a silage that, when fed to dairy cattle, increases milk production.",composition_cyanamide_use
2,5859353,"

                    Corn Inbred lines for dairy cattle feed                
","
            An inbred corn line designated AR5252bm3 is disclosed. AR5252bm3 is useful for producing F1 hybrid corn seed and plants therefrom. Such corn plants exhibit the brown midrib phenotype and yield a silage that, when fed to dairy cattle, increases milk production.        ",corn inbred lines for dairy cattle feed,"an inbred corn line designated ar5252bm3 is disclosed. ar5252bm3 is useful for producing f1 hybrid corn seed and plants therefrom. such corn plants exhibit the brown midrib phenotype and yield a silage that, when fed to dairy cattle, increases milk production.","corn inbred lines for dairy cattle feed an inbred corn line designated ar5252bm3 is disclosed. ar5252bm3 is useful for producing f1 hybrid corn seed and plants therefrom. such corn plants exhibit the brown midrib phenotype and yield a silage that, when fed to dairy cattle, increases milk production.",composition_cyanamide_use
3,5714670,"

                    Soybeans having low linolenic acid and low palmitic acid contents                
","
            A novel soybean seed and plant designated AX7777-7-30 having ATCC Accession No. 97616 and its descendents are provided. Such soybean seed contains an endogenous linolenic acid (C18:3) content in the vegetable oil at a low level of less than about 3 percent by weight (preferably less than about 2.5 percent) in combination with a reduced endogenous palmitic acid (C16:0) content of less than about 5 percent by weight (preferably less than about 4.5 percent) based upon the total fatty acid content. The soybean seed is capable upon germination of producing a plant that likewise forms seeds having an endogenous linolenic acid content in the vegetable oil of less than about 3.0 percent by weight (preferably less than about 2.5 percent) in combination with a reduced endogenous palmitic acid (C16:0) content of less than about 5 percent by weight (preferably less than about 4.5 percent) based upon the total fatty acid content. The linolenic acid and palmitic acid contents of the endogenously formed vegetable oil obtained from mature soybeans are determined by gas chromatography (as described).        ",soybeans having low linolenic acid and low palmitic acid contents,a novel soybean seed and plant designated ax7777-7-30 having atcc accession no. 97616 and its descendents are provided. such soybean seed contains an endogenous linolenic acid (c18:3) content in the vegetable oil at a low level of less than about 3 percent by weight (preferably less than about 2.5 percent) in combination with a reduced endogenous palmitic acid (c16:0) content of less than about 5 percent by weight (preferably less than about 4.5 percent) based upon the total fatty acid content. the soybean seed is capable upon germination of producing a plant that likewise forms seeds having an endogenous linolenic acid content in the vegetable oil of less than about 3.0 percent by weight (preferably less than about 2.5 percent) in combination with a reduced endogenous palmitic acid (c16:0) content of less than about 5 percent by weight (preferably less than about 4.5 percent) based upon the total fatty acid content. the linolenic acid and palmitic acid contents of the endogenously formed vegetable oil obtained from mature soybeans are determined by gas chromatography (as described).,soybeans having low linolenic acid and low palmitic acid contents a novel soybean seed and plant designated ax7777-7-30 having atcc accession no. 97616 and its descendents are provided. such soybean seed contains an endogenous linolenic acid (c18:3) content in the vegetable oil at a low level of less than about 3 percent by weight (preferably less than about 2.5 percent) in combination with a reduced endogenous palmitic acid (c16:0) content of less than about 5 percent by weight (preferably less than about 4.5 percent) based upon the total fatty acid content. the soybean seed is capable upon germination of producing a plant that likewise forms seeds having an endogenous linolenic acid content in the vegetable oil of less than about 3.0 percent by weight (preferably less than about 2.5 percent) in combination with a reduced endogenous palmitic acid (c16:0) content of less than about 5 percent by weight (preferably less than about 4.5 percent) based upon the total fatty acid content. the linolenic acid and palmitic acid contents of the endogenously formed vegetable oil obtained from mature soybeans are determined by gas chromatography (as described).,composition_cyanamide_use
4,5763745,"

                    Soybeans having low linolenic acid content and palmitic acid content of at least eleven percent                
","
            Methods are described for the production of soybean varieties and lines exhibiting linolenic acid contents of less than about 2.5% of the total fatty acid composition as determined by gas chromatography, preferably less than about 2.2% and, more preferably, less than about 1.9%, and in one aspect of the invention, soybean varieties and lines having the low linolenic acid characteristic and a stearic acid content of at least 20%, preferably at least 25%, and, more preferably, at least about 30%, and in a further aspect, soybean varieties and lines having the low linolenic acid content and a palmitic acid content of at least 11%, more preferably at least about 13 or 14%. In accordance with still further aspects of this invention, soybean lines are provided which exhibit a low linolenic acid content and an oleic acid content of at least about 60% of the total fatty acid composition, such lines may, if desired, also contain a palmitic acid content of less than about 6.0% and/or a stearic acid content of less than about 3.5%. There is also disclosed soybean lines having low linolenic acid contents and a palmitic acid content of less than about 5.0%, preferably less than about 4.0%.        ",soybeans having low linolenic acid content and palmitic acid content of at least eleven percent,"methods are described for the production of soybean varieties and lines exhibiting linolenic acid contents of less than about 2.5% of the total fatty acid composition as determined by gas chromatography, preferably less than about 2.2% and, more preferably, less than about 1.9%, and in one aspect of the invention, soybean varieties and lines having the low linolenic acid characteristic and a stearic acid content of at least 20%, preferably at least 25%, and, more preferably, at least about 30%, and in a further aspect, soybean varieties and lines having the low linolenic acid content and a palmitic acid content of at least 11%, more preferably at least about 13 or 14%. in accordance with still further aspects of this invention, soybean lines are provided which exhibit a low linolenic acid content and an oleic acid content of at least about 60% of the total fatty acid composition, such lines may, if desired, also contain a palmitic acid content of less than about 6.0% and/or a stearic acid content of less than about 3.5%. there is also disclosed soybean lines having low linolenic acid contents and a palmitic acid content of less than about 5.0%, preferably less than about 4.0%.","soybeans having low linolenic acid content and palmitic acid content of at least eleven percent methods are described for the production of soybean varieties and lines exhibiting linolenic acid contents of less than about 2.5% of the total fatty acid composition as determined by gas chromatography, preferably less than about 2.2% and, more preferably, less than about 1.9%, and in one aspect of the invention, soybean varieties and lines having the low linolenic acid characteristic and a stearic acid content of at least 20%, preferably at least 25%, and, more preferably, at least about 30%, and in a further aspect, soybean varieties and lines having the low linolenic acid content and a palmitic acid content of at least 11%, more preferably at least about 13 or 14%. in accordance with still further aspects of this invention, soybean lines are provided which exhibit a low linolenic acid content and an oleic acid content of at least about 60% of the total fatty acid composition, such lines may, if desired, also contain a palmitic acid content of less than about 6.0% and/or a stearic acid content of less than about 3.5%. there is also disclosed soybean lines having low linolenic acid contents and a palmitic acid content of less than about 5.0%, preferably less than about 4.0%.",composition_cyanamide_use
5,10319050,"

                    Systems for adjusting agronomic inputs using remote sensing, and related apparatus and methods                
","
            Methods, systems, and apparatus, including computer programs encoded on computer storage media for using remote sensing data to infer agronomic inputs to an agronomic simulation model.         ","systems for adjusting agronomic inputs using remote sensing, and related apparatus and methods","methods, systems, and apparatus, including computer programs encoded on computer storage media for using remote sensing data to infer agronomic inputs to an agronomic simulation model.","systems for adjusting agronomic inputs using remote sensing, and related apparatus and methods methods, systems, and apparatus, including computer programs encoded on computer storage media for using remote sensing data to infer agronomic inputs to an agronomic simulation model.",plant_inbreed_corn
6,10477756,"

                    Correcting agronomic data from multiple passes through a farmable region                
","
            Inaccurate agronomic data may be identified and corrected by obtaining agronomic data indicating areas of sub-regions of a farmable region and value for the sub-regions, wherein the value for each sub-region includes an aggregate value of an agronomic parameter for the sub-region and/or a ratio of the aggregate value to the area of the sub-region; identifying a part of a first sub-region that overlaps a part of a second sub-region; determining whether the second sub-region is associated with a first pass or a second pass by a sensor through the overlapping parts; and if the second sub-region is associated with the second pass, determining an adjusted value for the second sub-region based on the value for the first sub-region, the value for the second sub-region, the area of the first sub-region, the area of the second sub-region, and/or an area of the overlapping parts.         ",correcting agronomic data from multiple passes through a farmable region,"inaccurate agronomic data may be identified and corrected by obtaining agronomic data indicating areas of sub-regions of a farmable region and value for the sub-regions, wherein the value for each sub-region includes an aggregate value of an agronomic parameter for the sub-region and/or a ratio of the aggregate value to the area of the sub-region; identifying a part of a first sub-region that overlaps a part of a second sub-region; determining whether the second sub-region is associated with a first pass or a second pass by a sensor through the overlapping parts; and if the second sub-region is associated with the second pass, determining an adjusted value for the second sub-region based on the value for the first sub-region, the value for the second sub-region, the area of the first sub-region, the area of the second sub-region, and/or an area of the overlapping parts.","correcting agronomic data from multiple passes through a farmable region inaccurate agronomic data may be identified and corrected by obtaining agronomic data indicating areas of sub-regions of a farmable region and value for the sub-regions, wherein the value for each sub-region includes an aggregate value of an agronomic parameter for the sub-region and/or a ratio of the aggregate value to the area of the sub-region; identifying a part of a first sub-region that overlaps a part of a second sub-region; determining whether the second sub-region is associated with a first pass or a second pass by a sensor through the overlapping parts; and if the second sub-region is associated with the second pass, determining an adjusted value for the second sub-region based on the value for the first sub-region, the value for the second sub-region, the area of the first sub-region, the area of the second sub-region, and/or an area of the overlapping parts.",plant_method_reduce
7,7169982,"

                    Starch                
","
            This invention relates to a method of producing a starch with unique functionality in plants through mutableness, and/or using biotechnology, and/or breeding practices. Further the invention relates to the starch from maize plants and/or other plants which produce starch storing organs which contain low amylose starch which has an amylose content between 1.5% and 15% and preferably between 1.5% and 10% and most preferably 1.5 and 8%. The invention includes starch extracted from such grain due to at least one mutation induced by ethyl methanesulfonate. Additionally, the invention uses a biotechnology approach involving controlling the activity of the granule bound starch synthase enzyme in starch storing organ. The invention includes the use of the starch for its cooking, paste, and gel properties.        ",starch,"this invention relates to a method of producing a starch with unique functionality in plants through mutableness, and/or using biotechnology, and/or breeding practices. further the invention relates to the starch from maize plants and/or other plants which produce starch storing organs which contain low amylose starch which has an amylose content between 1.5% and 15% and preferably between 1.5% and 10% and most preferably 1.5 and 8%. the invention includes starch extracted from such grain due to at least one mutation induced by ethyl methanesulfonate. additionally, the invention uses a biotechnology approach involving controlling the activity of the granule bound starch synthase enzyme in starch storing organ. the invention includes the use of the starch for its cooking, paste, and gel properties.","starch this invention relates to a method of producing a starch with unique functionality in plants through mutableness, and/or using biotechnology, and/or breeding practices. further the invention relates to the starch from maize plants and/or other plants which produce starch storing organs which contain low amylose starch which has an amylose content between 1.5% and 15% and preferably between 1.5% and 10% and most preferably 1.5 and 8%. the invention includes starch extracted from such grain due to at least one mutation induced by ethyl methanesulfonate. additionally, the invention uses a biotechnology approach involving controlling the activity of the granule bound starch synthase enzyme in starch storing organ. the invention includes the use of the starch for its cooking, paste, and gel properties.",include_composition_system
8,5332673,"

                    Application of native soil bacteria as selective biological control agents of the weeds downy brome, Japanese brome, and jointed goatgrass in wheat                
","
            Novel modified and unmodified soil and rhizo-plane bacterial strains are disclosed which are useful for the control of weeds (e.g., downy brome, Japanese brome, and jointed goatgrass) in the vicinity of wheat. The specific bacteria are identified as Pseudomonas putida (FH160), Enterobacter taylorae (FH650), and Xanthomonas maltophilia (FH131). A method of weed control using one or more of the bacterial strains is provided, which can be effected by spraying or direct soil application during planting of bacterial solutions. The strains can also be mixed with chemical herbicides to give enhanced weed control.        ","application of native soil bacteria as selective biological control agents of the weeds downy brome, japanese brome, and jointed goatgrass in wheat","novel modified and unmodified soil and rhizo-plane bacterial strains are disclosed which are useful for the control of weeds (e.g., downy brome, japanese brome, and jointed goatgrass) in the vicinity of wheat. the specific bacteria are identified as pseudomonas putida (fh160), enterobacter taylorae (fh650), and xanthomonas maltophilia (fh131). a method of weed control using one or more of the bacterial strains is provided, which can be effected by spraying or direct soil application during planting of bacterial solutions. the strains can also be mixed with chemical herbicides to give enhanced weed control.","application of native soil bacteria as selective biological control agents of the weeds downy brome, japanese brome, and jointed goatgrass in wheat novel modified and unmodified soil and rhizo-plane bacterial strains are disclosed which are useful for the control of weeds (e.g., downy brome, japanese brome, and jointed goatgrass) in the vicinity of wheat. the specific bacteria are identified as pseudomonas putida (fh160), enterobacter taylorae (fh650), and xanthomonas maltophilia (fh131). a method of weed control using one or more of the bacterial strains is provided, which can be effected by spraying or direct soil application during planting of bacterial solutions. the strains can also be mixed with chemical herbicides to give enhanced weed control.",second_value_oil
9,6147193,"

                    Soybean products with improved carbohydrate composition and soybean plants                
","
            There is provided soybean protein products of significantly lowerstachyose content as a function of an improved soybean having a seed stachyose content of less than 50 μmol/g. Improved soybean lines are provided as are methods of using such reduced stachyose soybeans.        ",soybean products with improved carbohydrate composition and soybean plants,there is provided soybean protein products of significantly lowerstachyose content as a function of an improved soybean having a seed stachyose content of less than 50 μmol/g. improved soybean lines are provided as are methods of using such reduced stachyose soybeans.,soybean products with improved carbohydrate composition and soybean plants there is provided soybean protein products of significantly lowerstachyose content as a function of an improved soybean having a seed stachyose content of less than 50 μmol/g. improved soybean lines are provided as are methods of using such reduced stachyose soybeans.,acid_rice_content
