,topic,term,feature
0,composition_cyanamide_use,composition,composition
1,composition_cyanamide_use,composition,composing
2,composition_cyanamide_use,composition,constitution
3,composition_cyanamide_use,composition,physical_composition
4,composition_cyanamide_use,composition,makeup
5,composition_cyanamide_use,composition,make-up
6,composition_sequence_calcium,composition,composition
7,composition_sequence_calcium,composition,composing
8,composition_sequence_calcium,composition,constitution
9,composition_sequence_calcium,composition,physical_composition
10,composition_sequence_calcium,composition,makeup
11,composition_sequence_calcium,composition,make-up
12,include_composition_system,composition,composition
13,include_composition_system,composition,composing
14,include_composition_system,composition,constitution
15,include_composition_system,composition,physical_composition
16,include_composition_system,composition,makeup
17,include_composition_system,composition,make-up
18,composition_cyanamide_use,cyanamide,cyanamide
19,composition_cyanamide_use,cyanamide,cyanamid
20,composition_cyanamide_use,cyanamide,calcium-cyanamide
21,composition_sequence_calcium,cyanamide,cyanamide
22,composition_sequence_calcium,cyanamide,cyanamid
23,composition_sequence_calcium,cyanamide,calcium-cyanamide
24,composition_cyanamide_use,use,use
25,composition_cyanamide_use,use,usage
26,composition_cyanamide_use,use,utilization
27,composition_cyanamide_use,use,utilisation
28,composition_cyanamide_use,use,employment
29,composition_cyanamide_use,use,exercise
30,composition_cyanamide_use,use,function
31,composition_cyanamide_use,use,purpose
32,composition_cyanamide_use,use,role
33,plant_method_reduce,use,use
34,plant_method_reduce,use,usage
35,plant_method_reduce,use,utilization
36,plant_method_reduce,use,utilisation
37,plant_method_reduce,use,employment
38,plant_method_reduce,use,exercise
39,plant_method_reduce,use,function
40,plant_method_reduce,use,purpose
41,plant_method_reduce,use,role
42,composition_cyanamide_use,stabilize,stabilize
43,composition_cyanamide_use,stabilize,stabilise
44,composition_cyanamide_use,stabilize,brace
45,composition_cyanamide_use,stabilize,steady
46,composition_sequence_calcium,stabilize,stabilize
47,composition_sequence_calcium,stabilize,stabilise
48,composition_sequence_calcium,stabilize,brace
49,composition_sequence_calcium,stabilize,steady
50,composition_cyanamide_use,method,method
51,composition_cyanamide_use,method,method_acting
52,composition_sequence_calcium,method,method
53,composition_sequence_calcium,method,method_acting
54,plant_inbreed_corn,method,method
55,plant_inbreed_corn,method,method_acting
56,plant_method_reduce,method,method
57,plant_method_reduce,method,method_acting
58,include_composition_system,method,method
59,include_composition_system,method,method_acting
60,plant_corn_inbreed,method,method
61,plant_corn_inbreed,method,method_acting
62,composition_cyanamide_use,level,degree
63,composition_cyanamide_use,level,grade
64,composition_cyanamide_use,level,level
65,composition_cyanamide_use,level,tier
66,composition_cyanamide_use,level,stage
67,composition_cyanamide_use,level,point
68,composition_cyanamide_use,activity,activity
69,composition_cyanamide_use,activity,action
70,composition_cyanamide_use,activity,activeness
71,composition_cyanamide_use,activity,bodily_process
72,composition_cyanamide_use,activity,body_process
73,composition_cyanamide_use,activity,bodily_function
74,plant_method_reduce,activity,activity
75,plant_method_reduce,activity,action
76,plant_method_reduce,activity,activeness
77,plant_method_reduce,activity,bodily_process
78,plant_method_reduce,activity,body_process
79,plant_method_reduce,activity,bodily_function
80,composition_cyanamide_use,reduce,reduce
81,composition_cyanamide_use,reduce,cut_down
82,composition_cyanamide_use,reduce,cut_back
83,composition_cyanamide_use,reduce,trim
84,composition_cyanamide_use,reduce,trim_down
85,composition_cyanamide_use,reduce,trim_back
86,composition_cyanamide_use,reduce,cut
87,composition_cyanamide_use,reduce,bring_down
88,plant_method_reduce,reduce,reduce
89,plant_method_reduce,reduce,cut_down
90,plant_method_reduce,reduce,cut_back
91,plant_method_reduce,reduce,trim
92,plant_method_reduce,reduce,trim_down
93,plant_method_reduce,reduce,trim_back
94,plant_method_reduce,reduce,cut
95,plant_method_reduce,reduce,bring_down
96,composition_cyanamide_use,invention,invention
97,composition_cyanamide_use,invention,innovation
98,composition_cyanamide_use,invention,excogitation
99,composition_cyanamide_use,invention,conception
100,composition_cyanamide_use,invention,design
101,plant_invention_potato,invention,invention
102,plant_invention_potato,invention,innovation
103,plant_invention_potato,invention,excogitation
104,plant_invention_potato,invention,conception
105,plant_invention_potato,invention,design
106,plant_inbreed_corn,invention,invention
107,plant_inbreed_corn,invention,innovation
108,plant_inbreed_corn,invention,excogitation
109,plant_inbreed_corn,invention,conception
110,plant_inbreed_corn,invention,design
111,inbreed_plant_corn,invention,invention
112,inbreed_plant_corn,invention,innovation
113,inbreed_plant_corn,invention,excogitation
114,inbreed_plant_corn,invention,conception
115,inbreed_plant_corn,invention,design
116,plant_corn_inbreed,invention,invention
117,plant_corn_inbreed,invention,innovation
118,plant_corn_inbreed,invention,excogitation
119,plant_corn_inbreed,invention,conception
120,plant_corn_inbreed,invention,design
121,composition_cyanamide_use,cad,cad
122,composition_cyanamide_use,cad,bounder
123,composition_cyanamide_use,cad,blackguard
124,composition_cyanamide_use,cad,dog
125,composition_cyanamide_use,cad,hound
126,composition_cyanamide_use,cad,heel
127,composition_cyanamide_use,cad,computer-aided_design
128,composition_cyanamide_use,cad,CAD
129,composition_sequence_calcium,sequence,sequence
130,composition_sequence_calcium,sequence,chronological_sequence
131,composition_sequence_calcium,sequence,succession
132,composition_sequence_calcium,sequence,successiveness
133,composition_sequence_calcium,sequence,chronological_succession
134,composition_sequence_calcium,sequence,episode
135,plant_hybrid_possess,sequence,sequence
136,plant_hybrid_possess,sequence,chronological_sequence
137,plant_hybrid_possess,sequence,succession
138,plant_hybrid_possess,sequence,successiveness
139,plant_hybrid_possess,sequence,chronological_succession
140,plant_hybrid_possess,sequence,episode
141,acid_plant_sequence,sequence,sequence
142,acid_plant_sequence,sequence,chronological_sequence
143,acid_plant_sequence,sequence,succession
144,acid_plant_sequence,sequence,successiveness
145,acid_plant_sequence,sequence,chronological_succession
146,acid_plant_sequence,sequence,episode
147,composition_sequence_calcium,calcium,calcium
148,composition_sequence_calcium,calcium,Ca
149,composition_sequence_calcium,calcium,atomic_number_20
150,composition_sequence_calcium,acid,acid
151,composition_sequence_calcium,acid,back_breaker
152,composition_sequence_calcium,acid,battery-acid
153,composition_sequence_calcium,acid,dose
154,composition_sequence_calcium,acid,dot
155,composition_sequence_calcium,acid,Elvis
156,composition_sequence_calcium,acid,loony_toons
157,composition_sequence_calcium,acid,Lucy_in_the_sky_with_diamonds
158,composition_sequence_calcium,acid,pane
159,composition_sequence_calcium,acid,superman
160,composition_sequence_calcium,acid,window_pane
161,composition_sequence_calcium,acid,Zen
