,topic,term,feature
0,water_soil_plant,water,water
1,water_soil_plant,water,H2O
2,water_soil_plant,water,body_of_water
3,seed_plant_method,water,water
4,seed_plant_method,water,H2O
5,seed_plant_method,water,body_of_water
6,water_soil_plant,soil,dirt
7,water_soil_plant,soil,filth
8,water_soil_plant,soil,grime
9,water_soil_plant,soil,soil
10,water_soil_plant,soil,stain
11,water_soil_plant,soil,grease
12,water_soil_plant,soil,grunge
13,water_soil_plant,soil,land
14,water_soil_plant,soil,ground
15,nitrogen_make_calcium,soil,dirt
16,nitrogen_make_calcium,soil,filth
17,nitrogen_make_calcium,soil,grime
18,nitrogen_make_calcium,soil,soil
19,nitrogen_make_calcium,soil,stain
20,nitrogen_make_calcium,soil,grease
21,nitrogen_make_calcium,soil,grunge
22,nitrogen_make_calcium,soil,land
23,nitrogen_make_calcium,soil,ground
24,seed_plant_method,soil,dirt
25,seed_plant_method,soil,filth
26,seed_plant_method,soil,grime
27,seed_plant_method,soil,soil
28,seed_plant_method,soil,stain
29,seed_plant_method,soil,grease
30,seed_plant_method,soil,grunge
31,seed_plant_method,soil,land
32,seed_plant_method,soil,ground
33,base_information_back,soil,dirt
34,base_information_back,soil,filth
35,base_information_back,soil,grime
36,base_information_back,soil,soil
37,base_information_back,soil,stain
38,base_information_back,soil,grease
39,base_information_back,soil,grunge
40,base_information_back,soil,land
41,base_information_back,soil,ground
42,water_soil_plant,plant,plant
43,water_soil_plant,plant,works
44,water_soil_plant,plant,industrial_plant
45,water_soil_plant,plant,flora
46,water_soil_plant,plant,plant_life
47,plant_corn_invention,plant,plant
48,plant_corn_invention,plant,works
49,plant_corn_invention,plant,industrial_plant
50,plant_corn_invention,plant,flora
51,plant_corn_invention,plant,plant_life
52,seed_plant_method,plant,plant
53,seed_plant_method,plant,works
54,seed_plant_method,plant,industrial_plant
55,seed_plant_method,plant,flora
56,seed_plant_method,plant,plant_life
57,include_second_first,plant,plant
58,include_second_first,plant,works
59,include_second_first,plant,industrial_plant
60,include_second_first,plant,flora
61,include_second_first,plant,plant_life
62,water_soil_plant,nutrient,food
63,water_soil_plant,nutrient,nutrient
64,water_soil_plant,nutrient,alimentary
65,water_soil_plant,nutrient,alimental
66,water_soil_plant,nutrient,nourishing
67,water_soil_plant,nutrient,nutritious
68,water_soil_plant,nutrient,nutritive
69,water_soil_plant,percent,percentage
70,water_soil_plant,percent,percent
71,water_soil_plant,percent,per_centum
72,water_soil_plant,percent,pct
73,water_soil_plant,hydrolyze,hydrolyze
74,water_soil_plant,hydrolyze,hydrolyse
75,water_soil_plant,group,group
76,water_soil_plant,group,grouping
77,water_soil_plant,group,radical
78,water_soil_plant,group,chemical_group
79,water_soil_plant,group,mathematical_group
80,water_soil_plant,weight,weight
81,water_soil_plant,weight,free_weight
82,water_soil_plant,weight,exercising_weight
83,water_soil_plant,weight,weightiness
84,water_soil_plant,soluble,soluble
85,soybean_product_content,soybean,soy
86,soybean_product_content,soybean,soybean
87,soybean_product_content,soybean,soya_bean
88,soybean_product_content,soybean,soya
89,soybean_product_content,soybean,soybean_plant
90,soybean_product_content,soybean,soja
91,soybean_product_content,soybean,soja_bean
92,soybean_product_content,soybean,Glycine_max
93,image_spatial_acid,soybean,soy
94,image_spatial_acid,soybean,soybean
95,image_spatial_acid,soybean,soya_bean
96,image_spatial_acid,soybean,soya
97,image_spatial_acid,soybean,soybean_plant
98,image_spatial_acid,soybean,soja
99,image_spatial_acid,soybean,soja_bean
100,image_spatial_acid,soybean,Glycine_max
101,soybean_acid_composition,soybean,soy
102,soybean_acid_composition,soybean,soybean
